HALTER_ID,OWNER_AGE,GENDER,CITY,DISTRICT,BREED1,BREED1_MUTT,BREED2,BREED2_MUTT,RASSENTYP,BIRTH_YEAR_DOG,GENDER_DOG,DOG_COLOR
126,51-60,m,9,92,Welsh Terrier,,,,K,2011,w,schwarz/braun
171,61-70,m,3,31,Berner Sennenhund,,,,I,2009,m,tricolor
574,61-70,w,2,23,Cairn Terrier,,,,K,2002,w,brindle
695,41-50,m,6,63,Labrador Retriever,,,,I,2012,w,braun
893,61-70,w,7,71,Mittelschnauzer,,,,I,2010,w,schwarz
1177,51-60,m,10,102,Shih Tzu,,,,K,2011,m,schwarz/weiss
4004,61-70,w,3,34,Dackel,,,,K,2010,m,braun
4050,41-50,w,11,111,Bichon frisé,,,,K,2012,m,weiss
4155,61-70,w,9,92,Zwergdackel,,,,K,2002,m,schwarz/grau
4215,41-50,w,8,81,Border Collie,Mischling,,,I,2001,m,schwarz
4215,41-50,w,8,81,Bergamasker,Mischling,,,I,2004,w,schwarz
4215,41-50,w,8,81,Bergamasker,Mischling,,,I,2001,w,grau/braun
4239,61-70,w,10,102,Pinscher,Mischling,,,K,2013,w,braun/schwarz
4261,71-80,w,7,71,Labrador Retriever,,,,I,2012,w,beige
4281,61-70,w,9,91,Chihuahua,,,,K,2014,w,schwarz/weiss/braun
4281,61-70,w,9,91,Chihuahua,,,,K,2011,w,hellbraun
4362,61-70,w,7,74,West Highland White Terrier,,,,K,2002,m,weiss
4726,51-60,m,5,52,Golden Retriever,,,,I,2013,w,creme
4726,51-60,m,5,52,Mischling klein,,,,K,2007,m,schwarz
4786,41-50,m,3,34,Weimaraner,,,,I,2013,w,silber
4801,51-60,m,4,42,Tibetan Spaniel,,,,K,2013,w,schwarz/braun
4880,51-60,m,5,52,Leonberger,,,,I,2011,m,goldbraun
4889,51-60,m,8,82,Shiba Inu,,,,K,2003,w,rotbraun
5088,51-60,m,7,72,Labrador Retriever,,,,I,2014,w,schwarz
5113,61-70,m,11,119,Beagle,,,,K,2010,w,tricolor
5225,61-70,m,3,34,Lagotto Romagnolo,,,,I,2007,m,braun
5227,61-70,m,10,101,Border Terrier,,,,K,2011,w,tricolor
5348,61-70,m,7,74,Magyar Viszla,,,,I,2005,w,gelb
5361,61-70,m,7,74,Prager Rattler,,,,K,2000,w,schwarz/braun
5406,51-60,m,6,61,Französische Bulldogge,,,,K,2013,m,weiss/schwarz
6071,61-70,m,3,34,Cocker Spaniel,,,,K,2014,m,schwarz
6103,51-60,w,4,42,Zwergrauhaardackel,,,,K,2009,w,rot
6314,61-70,m,10,101,Jack Russel Terrier,,,,K,2005,w,tricolor
6321,51-60,w,8,81,Mops,,,,K,2011,m,beige
6364,61-70,m,,,Appenzeller,,Border Collie,,I,2013,m,tricolor
6469,41-50,m,11,111,Mops,,,,K,2011,m,beige
6594,51-60,m,7,72,Staffordshire Bull Terrier,,,,II,2005,w,mahagoni/weiss
6600,51-60,m,6,63,Mischling klein,,,,K,2004,m,braun
6617,61-70,w,12,122,Grosspudel,,,,I,2012,w,weiss
6640,51-60,m,8,82,Englische Bulldogge,,,,I,2011,m,braun/weiss
12349,51-60,m,4,41,English Springer Spaniel,,,,I,2005,m,braun/weiss
12371,51-60,w,2,23,Malteser,,,,K,2001,w,weiss
12409,61-70,m,9,91,Mischling klein,,,,K,2008,w,weiss/schwarz/braun
13119,51-60,m,10,102,Dobermann,,,,I,2006,w,braun/rot
13140,51-60,m,3,33,Jack Russel Terrier,,,,K,2002,w,tricolor
13193,51-60,m,11,111,Langhaardackel,,,,K,2005,w,hellbraun
14362,61-70,m,7,72,Zwergdachshund,,,,K,2004,w,saufarben
14387,61-70,m,5,52,Zwergpinscher,,,,K,2015,m,schwarz/braun
14550,71-80,m,12,122,Biewer Yorkshire Terrier,,,,K,2015,w,tricolor
14693,41-50,m,11,111,Chihuahua,,,,K,2007,w,weiss/grau
15456,41-50,m,2,21,Chihuahua,,,,K,2010,m,schwarz
15490,61-70,m,9,92,Parson Jack Russell Terrier,,,,K,2015,m,weiss/blau
18020,51-60,m,5,52,Labrador Retriever,,,,I,2011,w,schwarz
18360,31-40,w,3,31,Husky,,,,I,2010,w,weiss
